angle:56.078   ,   distance:1106
angle:56.359   ,   distance:1107
angle:56.641   ,   distance:1108
angle:56.922   ,   distance:1109
angle:57.203   ,   distance:1109
angle:57.484   ,   distance:1109
angle:57.766   ,   distance:1111
angle:58.047   ,   distance:1111
angle:58.328   ,   distance:1111
angle:58.609   ,   distance:1112
angle:58.891   ,   distance:1113
angle:59.172   ,   distance:1114
angle:59.453   ,   distance:1116
angle:59.719   ,   distance:1126
angle:60   ,   distance:1117
angle:60.281   ,   distance:1118
angle:60.563   ,   distance:1119
angle:60.844   ,   distance:1121
angle:61.125   ,   distance:1121
angle:61.406   ,   distance:1120
angle:61.688   ,   distance:1123
angle:61.969   ,   distance:1122
angle:62.25   ,   distance:1124
angle:62.531   ,   distance:1127
angle:62.766   ,   distance:1128
angle:63.047   ,   distance:1130
angle:63.328   ,   distance:1131
angle:63.609   ,   distance:1131
angle:63.891   ,   distance:1132
angle:64.156   ,   distance:1133
angle:64.438   ,   distance:1135
angle:64.734   ,   distance:1134
angle:65.016   ,   distance:1139
angle:65.297   ,   distance:1140
angle:65.578   ,   distance:1141
angle:65.859   ,   distance:1143
angle:66.141   ,   distance:1145
angle:66.438   ,   distance:1145
angle:66.719   ,   distance:1147
angle:67   ,   distance:1149
angle:67.266   ,   distance:1151
angle:67.547   ,   distance:1152
angle:67.828   ,   distance:1154
angle:68.109   ,   distance:1155
angle:68.406   ,   distance:1156
angle:68.688   ,   distance:1158
angle:68.969   ,   distance:1160
angle:69.25   ,   distance:1163
angle:69.531   ,   distance:1165
angle:69.797   ,   distance:1167
angle:70.094   ,   distance:1169
angle:70.375   ,   distance:1169
angle:70.656   ,   distance:1172
angle:70.938   ,   distance:1174
angle:71.219   ,   distance:1177
angle:71.5   ,   distance:1178
angle:71.781   ,   distance:1180
angle:72.078   ,   distance:1183
angle:72.344   ,   distance:1185
angle:72.625   ,   distance:1188
angle:72.906   ,   distance:1188
angle:73.188   ,   distance:1191
angle:73.469   ,   distance:1194
angle:73.766   ,   distance:1198
angle:74   ,   distance:1200
angle:74.266   ,   distance:1202
angle:74.547   ,   distance:1203
angle:74.828   ,   distance:1209
angle:75.109   ,   distance:1211
angle:75.391   ,   distance:1212
angle:75.672   ,   distance:1214
angle:75.953   ,   distance:1219
angle:76.219   ,   distance:1223
angle:76.5   ,   distance:1225
angle:76.781   ,   distance:1228
angle:77.063   ,   distance:1231
angle:77.344   ,   distance:1234
angle:77.625   ,   distance:1237
angle:77.891   ,   distance:1241
angle:78.172   ,   distance:1242
angle:78.453   ,   distance:1244
angle:78.734   ,   distance:1251
angle:79.016   ,   distance:1253
angle:79.297   ,   distance:1257
angle:79.594   ,   distance:1257
angle:79.859   ,   distance:1263
angle:80.141   ,   distance:1267
angle:80.422   ,   distance:1270
angle:80.703   ,   distance:1272
angle:80.984   ,   distance:1275
angle:81.25   ,   distance:1281
angle:81.531   ,   distance:1285
angle:81.813   ,   distance:1287
angle:82.094   ,   distance:1290
angle:82.375   ,   distance:1297
angle:82.656   ,   distance:1299
angle:82.922   ,   distance:1303
angle:83.203   ,   distance:1306
angle:83.484   ,   distance:1309
angle:83.766   ,   distance:1315
angle:84.047   ,   distance:1319
angle:84.328   ,   distance:1322
angle:84.594   ,   distance:1326
angle:84.891   ,   distance:1333
angle:85.125   ,   distance:1337
angle:85.391   ,   distance:1340
angle:85.672   ,   distance:1344
angle:85.938   ,   distance:1350
angle:86.219   ,   distance:1355
angle:86.5   ,   distance:1359
angle:86.781   ,   distance:1365
angle:87.047   ,   distance:1370
angle:87.328   ,   distance:1371
angle:87.609   ,   distance:1381
angle:87.891   ,   distance:1385
angle:88.172   ,   distance:1390
angle:88.438   ,   distance:1395
angle:88.719   ,   distance:1402
angle:89   ,   distance:1406
angle:89.281   ,   distance:1411
angle:89.563   ,   distance:1416
angle:89.828   ,   distance:1423
angle:90.109   ,   distance:1427
angle:90.391   ,   distance:1432
angle:90.656   ,   distance:1439
angle:90.938   ,   distance:1444
angle:91.203   ,   distance:1450
angle:91.484   ,   distance:1458
angle:91.766   ,   distance:1459
angle:92.047   ,   distance:1465
angle:92.328   ,   distance:1469
angle:92.609   ,   distance:1468
angle:92.875   ,   distance:1475
angle:93.156   ,   distance:1493
angle:93.438   ,   distance:1498
angle:93.703   ,   distance:1503
angle:93.984   ,   distance:1511
angle:94.266   ,   distance:1517
angle:94.547   ,   distance:1524
angle:94.813   ,   distance:1533
angle:95.094   ,   distance:1539
